key_a,key_b,clean_accuracy_permuted,clean_loss_permuted
100_4,300_2,68.97,1.5141485971450805
100_4,300_3,68.73,1.5291953256607056
100_4,300_4,68.59,1.539526248550415
100_4,50_1,1.0,30563.926090625
100_4,50_2,59.57,2.2042732984542845
100_4,50_3,14.0,4.101249682617188
100_4,50_4,59.78,2.0654894466400147
100_4,60_1,1.0,19952.83450625
100_4,60_2,63.97,1.9464330017089844
100_4,60_3,19.84,3.8673305736541748
100_4,60_4,68.09,1.6254432819366456
100_4,70_1,1.0,101.91340368652344
100_4,70_2,66.98,1.6618135160446168
100_4,70_3,20.82,3.7674985847473144
100_4,70_4,73.21,1.3267962015151977
100_4,80_1,1.0,2424.94379296875
100_4,80_2,72.32,1.430736686706543
100_4,80_3,37.27,3.111173723602295
100_4,80_4,76.2,1.1479841026306152
100_4,90_1,1.0,190.40413876953124
100_4,90_2,72.7,1.349597550201416
100_4,90_3,43.76,2.759168829727173
100_4,90_4,77.9,1.061177456855774
110_1,110_1,74.29,1.0794729654312134
110_1,110_2,1.0,4.759522838592529
110_1,110_3,1.0,4.767793463134765
110_1,110_4,1.0,4.738754571533203
110_1,120_1,0.7,10.563205270385742
110_1,120_2,1.0,4.744874359893799
110_1,120_3,1.0,4.748437547302246
110_1,120_4,1.0,4.74673911819458
110_1,130_1,0.87,20341.658753125
110_1,130_2,1.0,4.748047078704834
110_1,130_3,1.0,4.77492949295044
110_1,130_4,1.0,4.749147418212891
110_1,140_1,1.07,153.55255236816407
110_1,140_2,1.0,4.752606518554687
110_1,140_3,1.0,4.755264803314209
110_1,140_4,1.0,4.7498403152465825
110_1,150_1,1.0,226.50621376953126
110_1,150_2,1.0,4.72772075805664
110_1,150_3,1.0,4.746793543243408
110_1,150_4,1.0,4.753108288574219
110_1,160_1,0.98,39.633126953125
110_1,160_2,1.0,4.756356209564209
110_1,160_3,1.0,4.768428384399414
110_1,160_4,1.0,4.781560469055176
110_1,170_1,1.13,39.061591357421875
110_1,170_2,1.0,4.732552639770508
110_1,170_3,1.42,4.753616650390625
110_1,170_4,1.0,4.769524082946777
110_1,180_1,0.94,5.154777220916748
110_1,180_2,1.0,4.75385577545166
110_1,180_3,1.0,4.7636317596435545
110_1,180_4,1.0,4.7674294952392575
110_1,190_1,1.16,5.2612911865234375
110_1,190_2,1.0,4.745635231018066
110_1,190_3,1.0,4.753173794555664
110_1,190_4,1.0,4.7761699577331544
110_1,200_1,1.02,4.860571827697754
110_1,200_2,1.0,4.746806240844727
110_1,200_3,1.0,4.7873151458740235
110_1,200_4,1.0,4.783143954467773
110_1,210_1,0.98,4.904441445159912
110_1,210_2,1.0,4.762449263000488
110_1,210_3,1.0,4.763503359985352
110_1,210_4,1.0,4.824087358856201
110_1,220_1,1.03,4.844751989746094
110_1,220_2,1.0,4.753248760986328
110_1,220_3,1.0,4.766874049377441
110_1,220_4,1.0,4.81057474899292
110_1,230_1,1.04,4.825432025146484
110_1,230_2,1.0,4.730124031829834
110_1,230_3,1.0,4.740374992370605
110_1,230_4,1.0,4.77085051574707
110_1,240_1,1.34,4.832263292694091
110_1,240_2,1.0,4.733256742095947
110_1,240_3,1.0,4.75890637512207
110_1,240_4,1.0,4.777420280456543
110_1,250_1,1.13,4.902392613983154
110_1,250_2,1.0,4.7463344367980955
110_1,250_3,1.0,4.748083767700195
110_1,250_4,1.0,4.818937114715576
110_1,260_1,1.0,4.814283491516114
110_1,260_2,1.0,4.751971380615235
110_1,260_3,1.0,4.744599719238281
110_1,260_4,1.0,4.787555513763428
110_1,270_1,1.0,4.820215057373047
110_1,270_2,1.0,4.751543218231201
110_1,270_3,1.0,4.75445192565918
110_1,270_4,1.0,4.775934701538086
110_1,280_1,1.0,4.766172076416016
110_1,280_2,1.0,4.736466102600097
110_1,280_3,1.0,4.726651401519775
110_1,280_4,1.0,4.76191834564209
110_1,290_1,1.0,4.739064362335205
110_1,290_2,1.0,4.753845235443115
110_1,290_3,1.0,4.743921045684814
110_1,290_4,1.0,4.7497541610717775
110_1,300_1,1.0,4.7471067962646485
110_1,300_2,1.0,4.735299111175537
110_1,300_3,1.0,4.737746769714356
110_1,300_4,1.0,4.758014921569824
110_1,50_1,1.0,4.622978343200684
110_1,50_2,1.0,4.739179788208008
110_1,50_3,1.0,4.768608139038086
110_1,50_4,1.0,4.719774388885498
110_1,60_1,1.0,4.638769332885742
110_1,60_2,1.01,4.748994340515137
110_1,60_3,1.0,4.737899095916748
110_1,60_4,1.0,4.723384273529053
110_1,70_1,0.97,4.628201502227784
110_1,70_2,1.0,4.747944895935059
110_1,70_3,1.0,4.760821532440185
110_1,70_4,1.0,4.7471142051696775
110_1,80_1,1.09,4.642815444183349
110_1,80_2,1.0,4.73928599319458
110_1,80_3,1.0,4.799343420410156
110_1,80_4,1.0,4.740224365997315
110_1,90_1,2.11,4.613287567138672
110_1,90_2,1.0,4.749714546966553
110_1,90_3,1.0,4.765301885986328
110_1,90_4,1.0,4.7256072235107425
110_2,110_2,78.0,1.0356826032161712
110_2,110_3,66.3,1.6592152549743653
110_2,110_4,76.2,1.1539100470542907
110_2,120_1,1.08,4.992962875366211
110_2,120_2,75.48,1.1879465593338012
110_2,120_3,67.27,1.5879573207855224
110_2,120_4,75.38,1.1816670884132385
110_2,130_1,1.29,4.692250387573242
110_2,130_2,74.79,1.2214838373184205
110_2,130_3,67.68,1.5584869215011596
110_2,130_4,75.14,1.2010119981765748
110_2,140_1,1.46,4.7274314880371096
110_2,140_2,74.88,1.216242743873596
110_2,140_3,72.03,1.3626242916107179
110_2,140_4,75.34,1.192899820137024
110_2,150_1,1.48,4.698081213378906
110_2,150_2,74.46,1.221578974533081
110_2,150_3,71.43,1.3670940419197082
110_2,150_4,75.37,1.1906551587104797
110_2,160_1,2.03,4.665348539733887
110_2,160_2,74.41,1.2275959476470948
110_2,160_3,71.65,1.366170806121826
110_2,160_4,75.0,1.2050816789627075
110_2,170_1,1.58,4.867448588562012
110_2,170_2,74.75,1.226702914428711
110_2,170_3,71.51,1.3601729625701904
110_2,170_4,72.35,1.355013910484314
110_2,180_1,1.67,4.620533194732666
110_2,180_2,74.43,1.2371117023468017
110_2,180_3,71.36,1.3706347661972045
110_2,180_4,62.37,1.841891265487671
110_2,190_1,3.88,4.582811135864258
110_2,190_2,74.22,1.25755557346344
110_2,190_3,71.96,1.356800414466858
110_2,190_4,43.61,2.7799923404693603
110_2,200_1,1.1,4.613960690307617
110_2,200_2,74.33,1.2512150341033936
110_2,200_3,71.07,1.3824964000701905
110_2,200_4,23.71,3.6889204315185546
110_2,210_1,2.49,4.575798858642578
110_2,210_2,74.1,1.267284728717804
110_2,210_3,73.13,1.3176310750961304
110_2,210_4,12.36,4.176194252777099
110_2,220_1,1.26,4.585844740295411
110_2,220_2,73.76,1.2727107446670531
110_2,220_3,72.39,1.3398728600502015
110_2,220_4,19.01,3.9079812744140625
110_2,230_1,2.23,4.571152843475342
110_2,230_2,73.85,1.273752534866333
110_2,230_3,72.65,1.3328054027557372
110_2,230_4,26.21,3.5274439460754397
110_2,240_1,3.02,4.553959085845947
110_2,240_2,72.49,1.3185643527984618
110_2,240_3,73.07,1.3099740399360658
110_2,240_4,40.11,2.8247596851348877
110_2,250_1,2.95,4.566022208404541
110_2,250_2,72.27,1.3284779739379884
110_2,250_3,73.04,1.296997331905365
110_2,250_4,58.91,1.9338558502197265
110_2,260_1,3.51,4.54941909866333
110_2,260_2,72.33,1.3252016042709351
110_2,260_3,73.85,1.26669339761734
110_2,260_4,68.96,1.4718842372894287
110_2,270_1,7.39,4.380859852600097
110_2,270_2,73.36,1.2923380735397338
110_2,270_3,73.66,1.2762376453399658
110_2,270_4,71.62,1.3590180959701539
110_2,280_1,73.48,1.2823464811325074
110_2,280_2,73.38,1.2838427402496337
110_2,280_3,73.6,1.2720536418914794
110_2,280_4,72.82,1.309806216430664
110_2,290_1,73.75,1.2736835628509522
110_2,290_2,73.17,1.2909416579246522
110_2,290_3,73.28,1.288685294151306
110_2,290_4,73.11,1.3012429584503173
110_2,300_1,73.49,1.2908230668067933
110_2,300_2,73.61,1.2798220355033874
110_2,300_3,73.25,1.2868846830368041
110_2,300_4,73.23,1.2968675698280334
110_2,50_1,1.0,30366.67549375
110_2,50_2,56.49,2.3849650108337404
110_2,50_3,18.2,4.010901615524292
110_2,50_4,36.58,3.1909870109558107
110_2,60_1,1.0,4044.5284875
110_2,60_2,62.11,2.1085254776000975
110_2,60_3,29.67,3.7516887176513674
110_2,60_4,47.1,2.7148318519592287
110_2,70_1,1.0,49.75823834228515
110_2,70_2,65.13,1.797900452232361
110_2,70_3,31.85,3.466120990753174
110_2,70_4,59.94,2.0327024227142334
110_2,80_1,1.0,414.164749609375
110_2,80_2,69.81,1.5646468254089356
110_2,80_3,43.47,2.9305016960144044
110_2,80_4,67.74,1.6230768724441529
110_2,90_1,1.0,1220.103483984375
110_2,90_2,72.73,1.36463468542099
110_2,90_3,53.31,2.4470903533935546
110_2,90_4,71.7,1.383904411125183
110_3,110_3,78.25,1.0128251585006713
110_3,110_4,60.08,1.9698235357284546
110_3,120_1,1.1,4.695238994598388
110_3,120_2,66.56,1.6850813011169434
110_3,120_3,66.87,1.631798614692688
110_3,120_4,61.28,1.8864225875854492
110_3,130_1,0.99,4.711957316589356
110_3,130_2,65.3,1.6961906074523925
110_3,130_3,61.61,1.836872018623352
110_3,130_4,63.49,1.7379051649093629
110_3,140_1,1.28,4.7115231674194336
110_3,140_2,65.15,1.7186277053833008
110_3,140_3,67.87,1.5701469421386718
110_3,140_4,64.87,1.68029081325531
110_3,150_1,1.79,4.7922662841796875
110_3,150_2,66.79,1.6488186317443847
110_3,150_3,64.77,1.7095515445709228
110_3,150_4,65.78,1.629584300994873
110_3,160_1,2.52,4.658348767852783
110_3,160_2,66.01,1.672647159576416
110_3,160_3,66.47,1.6789678989410401
110_3,160_4,68.22,1.5101499214172363
110_3,170_1,1.94,4.757254666900635
110_3,170_2,66.28,1.6674341396331787
110_3,170_3,66.57,1.646600500869751
110_3,170_4,68.4,1.5326908171653748
110_3,180_1,4.36,4.484848078918457
110_3,180_2,66.53,1.6664537422180177
110_3,180_3,66.84,1.6427199245452881
110_3,180_4,61.89,1.8479493661880493
110_3,190_1,6.18,4.524031484222412
110_3,190_2,66.85,1.6579131385803223
110_3,190_3,68.15,1.5876753547668456
110_3,190_4,53.27,2.3084483390808104
110_3,200_1,2.09,4.488085261535645
110_3,200_2,66.24,1.6691662282943727
110_3,200_3,65.03,1.720993923187256
110_3,200_4,37.76,3.0436144107818603
110_3,210_1,2.94,4.476838400268555
110_3,210_2,65.55,1.701750547027588
110_3,210_3,67.72,1.6282463788986206
110_3,210_4,22.5,3.7711484226226806
110_3,220_1,5.84,4.455872091674805
110_3,220_2,65.92,1.7001162910461425
110_3,220_3,68.53,1.598470343208313
110_3,220_4,31.39,3.4779980743408205
110_3,230_1,6.57,4.446851348876953
110_3,230_2,68.01,1.5931749871253966
110_3,230_3,67.64,1.6337188467025756
110_3,230_4,38.08,3.0452667613983153
110_3,240_1,5.23,4.498076376342773
110_3,240_2,68.41,1.571949124622345
110_3,240_3,68.17,1.6036184295654297
110_3,240_4,48.4,2.550733647918701
110_3,250_1,4.82,4.494413372802734
110_3,250_2,68.4,1.570152710533142
110_3,250_3,68.74,1.5708838109970094
110_3,250_4,60.98,1.889856096458435
110_3,260_1,4.81,4.470008058166504
110_3,260_2,68.18,1.5828250066757201
110_3,260_3,67.51,1.621752379989624
110_3,260_4,66.15,1.6577183032989502
110_3,270_1,13.72,4.107397445678711
110_3,270_2,68.54,1.5729543535232544
110_3,270_3,68.17,1.5849520774841308
110_3,270_4,67.61,1.593413649559021
110_3,280_1,67.8,1.5950886989593507
110_3,280_2,68.7,1.5611112466812134
110_3,280_3,68.85,1.5580452579498292
110_3,280_4,68.12,1.577144048500061
