key_a,key_b,l2_distance,cosine_similarity
100_1,100_2,26.117670158013777,0.14040399398736547
100_1,100_3,26.818776883156502,0.13986466253835983
100_1,100_4,25.638142983360485,0.15206599706145554
100_1,110_1,29.679652781733243,0.1688948114025671
100_1,110_2,26.2174082701057,0.14059089953104886
100_1,110_3,26.88409474452417,0.13894776198052564
100_1,110_4,25.651278243246697,0.15383317420714077
100_1,120_1,29.941788580234803,0.16572715379122727
100_1,120_2,26.03258292728126,0.14080888771844333
100_1,120_3,26.676633205584327,0.13925263189880643
100_1,120_4,25.61289846065673,0.15552886947635908
100_1,130_1,29.914836870782313,0.15740310023634177
100_1,130_2,26.130758794367434,0.1415743637631944
100_1,130_3,26.65345132773405,0.13900069225176728
100_1,130_4,25.763731516194348,0.15572990855373112
100_1,140_1,30.100889238284232,0.15135722463184406
100_1,140_2,26.165249483593417,0.14117799093503383
100_1,140_3,26.79892598385831,0.1385159085426664
100_1,140_4,25.88262318036499,0.1561449572386907
100_1,150_1,29.972674935067648,0.14886858567942568
100_1,150_2,26.097908026299102,0.1414170090311842
100_1,150_3,27.23286764552542,0.1372894733398632
100_1,150_4,26.10109156946175,0.15436128461789278
100_1,160_1,30.311831586743104,0.14489442354377755
100_1,160_2,26.037851664685274,0.14167665920961858
100_1,160_3,26.83972929077701,0.1383707204034638
100_1,160_4,26.836308457085195,0.15001218819850012
100_1,170_1,30.330146248883292,0.14424830728270163
100_1,170_2,26.002961939289815,0.1415571047666264
100_1,170_3,26.73115359451906,0.13817609313251675
100_1,170_4,28.023415914303346,0.14429119284683284
100_1,180_1,30.595069736034688,0.14175629399328937
100_1,180_2,26.08887749094673,0.14180983188531676
100_1,180_3,26.759207461290767,0.13801865324944465
100_1,180_4,28.867355444962254,0.14032005420729624
100_1,190_1,30.617454999260456,0.1391075944309447
100_1,190_2,25.99051110301707,0.14215145462685908
100_1,190_3,26.94125011396636,0.1374982674683083
100_1,190_4,29.567644827097208,0.13710205781681636
100_1,200_1,30.86564088262359,0.1380900612552499
100_1,200_2,26.078259315328392,0.14177960661729017
100_1,200_3,26.888075850659842,0.137119786773877
100_1,200_4,30.105245134800295,0.13503295917047942
100_1,210_1,30.903401593155518,0.13651455876178775
100_1,210_2,26.225229260933475,0.14114840848581262
100_1,210_3,26.940429398531876,0.1372451213857001
100_1,210_4,29.881706551970748,0.13437620604678946
100_1,220_1,31.17702510215813,0.13532297468355545
100_1,220_2,27.09613475101406,0.13828244294465886
100_1,220_3,26.825557633923246,0.13733031611858634
100_1,220_4,29.363416639009913,0.13459012534997142
100_1,230_1,31.576647809019473,0.13371492738198282
100_1,230_2,26.96366785821016,0.13829060272220617
100_1,230_3,26.86073998389001,0.13767020331013063
100_1,230_4,28.443369237747714,0.135902899715877
100_1,240_1,31.51828673626315,0.1316628200778403
100_1,240_2,26.938949169077556,0.13830042229551667
100_1,240_3,26.65546819570667,0.13913800871156815
100_1,240_4,27.639455870970526,0.13715540295614845
100_1,250_1,30.8779043406818,0.1301310830084563
100_1,250_2,26.855531693748922,0.13854888261252926
100_1,250_3,26.598153679820076,0.13915182913932528
100_1,250_4,27.099727257068377,0.1381428121097944
