key_a,key_b,l2_distance,cosine_similarity,cka_logits,mse_logits,kl_logits,cka_features
50_1,50_2,51.838275199124,0.08130376567663582,0.5042393207550049,111.24397277832031,0.7054782509803772,0.4624212980270386
50_1,50_3,53.28123036768155,0.08092033513285983,0.5075656175613403,108.88776397705078,0.6906182169914246,0.46927154064178467
50_1,50_4,50.85955975825854,0.08475859770044511,0.5016764402389526,114.53162384033203,0.7142535448074341,0.46431225538253784
50_1,60_1,57.166237480294875,0.14147067169578365,0.7158988118171692,70.9912109375,0.4309643507003784,0.7341896295547485
50_1,60_2,51.6713936725275,0.08045541206386615,0.5040873885154724,111.22174072265625,0.6956951022148132,0.46430808305740356
50_1,60_3,53.328536371325654,0.0800444306514058,0.5103925466537476,108.7114028930664,0.6834955811500549,0.47554823756217957
50_1,60_4,50.97353812092793,0.08526185317787013,0.5077365040779114,113.826171875,0.7063215970993042,0.47117581963539124
50_1,70_1,57.53880053757863,0.13537616036403147,0.703274667263031,73.337158203125,0.4549229145050049,0.7193476557731628
50_1,70_2,51.77503786215452,0.08072872574251153,0.5050104260444641,110.97196197509766,0.6973537802696228,0.4703739881515503
50_1,70_3,53.342561626957476,0.08079991256191102,0.5049697160720825,109.19190216064453,0.691672146320343,0.4684336483478546
50_1,70_4,50.885714617507325,0.08597828591265808,0.507529616355896,113.3134536743164,0.7106945514678955,0.47189950942993164
50_1,80_1,57.67875114655754,0.137913040475389,0.6723435521125793,76.8770980834961,0.4737023413181305,0.6805645823478699
50_1,80_2,51.48269742013151,0.08076041601871686,0.5006022453308105,111.56512451171875,0.6996645331382751,0.46315187215805054
50_1,80_3,53.50165232663494,0.08031265161611868,0.5086234211921692,108.86949920654297,0.6875984072685242,0.47397729754447937
50_1,80_4,50.8015234369999,0.08653640802352353,0.5059771537780762,113.42432403564453,0.7108070254325867,0.4738006591796875
50_1,90_1,58.025897150856885,0.13654062122045904,0.5920597314834595,85.34529113769531,0.49743467569351196,0.6378565430641174
50_1,90_2,51.609590259276,0.08118763692258915,0.49870043992996216,111.84756469726562,0.7003259658813477,0.4623842239379883
50_1,90_3,53.190958433318414,0.07978898937375087,0.5034946203231812,109.50191497802734,0.6982007622718811,0.4706175625324249
50_1,90_4,50.96103497596124,0.08634182473096477,0.50676029920578,112.7791976928711,0.7032334804534912,0.47482842206954956
100_1,50_1,58.80305229719086,0.12475160721877196,0.5357959866523743,93.08059692382812,0.5496121048927307,0.6034096479415894
100_2,50_1,51.848567820449574,0.08089305809702911,0.5078514814376831,110.783203125,0.7001897692680359,0.4714661240577698
100_3,50_1,53.08471907433352,0.08003951387592201,0.5058507323265076,109.31999969482422,0.6906614303588867,0.4743075370788574
100_4,50_1,50.93137059378045,0.08691437424266557,0.5078296661376953,112.54718780517578,0.7050087451934814,0.4709778428077698
110_1,50_1,59.55119366467036,0.10842514554017808,0.5306463837623596,95.64201354980469,0.5956804156303406,0.5625134110450745
110_2,50_1,51.95025834590471,0.08093390081106937,0.5059487223625183,110.80982208251953,0.7095112800598145,0.4713982343673706
