run_id,seed,model_type,clean_acc,clean_loss,corrupted_acc,corrupted_loss
00,42,Baseline,78.42,1.0210937259674073,51.87052631578947,2.3174938228607176
00,42,EMA,78.61,1.0135218772888184,51.80631578947368,2.3174664633349367
00,42,SWA,79.75,0.8943506530761719,55.4542105263158,2.439401680133217
01,43,Baseline,78.04,1.0413748278617858,50.764736842105265,2.383931518700248
01,43,EMA,78.25,1.027551930809021,50.805263157894736,2.3789841961258333
01,43,SWA,79.9,0.8443400025367737,54.893157894736845,2.3628802852229067
02,44,Baseline,78.79,1.0047537145614625,50.827894736842104,2.3809597831926848
02,44,EMA,78.95,0.985397837638855,51.56263157894737,2.3332568583588853
02,44,SWA,80.81,0.8609894020080566,54.667368421052636,2.5609603667058445
03,45,Baseline,78.53,1.0236651087760926,51.357894736842105,2.341228202859979
03,45,EMA,78.61,1.0072818021774292,52.13157894736842,2.292587291100151
03,45,SWA,80.14,0.8710227934837341,55.451052631578946,2.4135508065374274
04,46,Baseline,78.49,1.007884907913208,51.31,2.3381086366251895
04,46,EMA,78.66,1.0015848110198975,51.12263157894736,2.348263661956787
04,46,SWA,80.29,0.8635970067501069,55.12842105263158,2.490163780769549
05,47,Baseline,78.3,1.022847251224518,51.09105263157895,2.371799783159557
05,47,EMA,79.08,0.9840455978393555,52.229473684210525,2.3067059489400763
05,47,SWA,80.43,0.8823223635673523,55.86157894736843,2.522323690896285
06,48,Baseline,78.96,1.0007381128311157,51.35578947368421,2.363222431007184
06,48,EMA,78.77,0.9899338745117188,51.71526315789474,2.3426338235604134
06,48,SWA,80.13,0.8854560566902161,55.17315789473684,2.5841378775947974
07,49,Baseline,78.12,1.0261432682991027,50.386842105263156,2.3804353309882313
07,49,EMA,78.75,1.0119185309410095,51.21263157894737,2.3390909381264136
07,49,SWA,80.4,0.8586485429763794,54.79210526315789,2.420093119857186
08,50,Baseline,78.26,1.0278374934196473,51.46736842105263,2.3335536233249465
08,50,EMA,78.49,1.0159239845275878,51.51894736842105,2.335782980677956
08,50,SWA,79.85,0.8670491436004638,56.0578947368421,2.3094382041780572
09,51,Baseline,77.79,1.0528937676429748,50.28315789473684,2.38936339506852
09,51,EMA,77.86,1.0349698962211609,51.15736842105263,2.339274837940618
09,51,SWA,79.58,0.8966321241378784,55.473684210526315,2.4055709043151454
10,52,Baseline,78.97,0.9870964949131011,51.263684210526314,2.3478187050693915
10,52,EMA,79.11,0.9828285674095154,51.66842105263158,2.337154146661257
10,52,SWA,80.56,0.8342584343910218,55.58,2.372923915280794
11,53,Baseline,78.25,1.027003950405121,50.87052631578947,2.36312618613996
11,53,EMA,78.32,1.0194681899070739,51.293157894736844,2.335862233488183
11,53,SWA,79.48,0.9122366191864014,55.46684210526316,2.419835357906944
